month,level_1,value
2000-04,Total (Excluding Motor Vehicles),73.3
2000-05,Total,66.7
2000-05,Total (Excluding Motor Vehicles),72.4
2000-06,Total,70.4
2000-06,Total (Excluding Motor Vehicles),71.1
2000-07,Total,69.8
2000-07,Total (Excluding Motor Vehicles),73.7
2000-08,Total,68.8
2000-08,Total (Excluding Motor Vehicles),72.2
2000-09,Total,72.1
2000-09,Total (Excluding Motor Vehicles),74.2
2000-10,Total,66.6
2000-10,Total (Excluding Motor Vehicles),72.6
2000-11,Total,73.1
2000-11,Total (Excluding Motor Vehicles),73.2
2000-12,Total,72.5
2000-12,Total (Excluding Motor Vehicles),73.5
2001-01,Total,73.9
2001-01,Total (Excluding Motor Vehicles),72.7
2001-02,Total,75.3
2001-02,Total (Excluding Motor Vehicles),72
2001-03,Total,76.8
2001-03,Total (Excluding Motor Vehicles),72.4
2001-04,Total,73.5
2001-04,Total (Excluding Motor Vehicles),71.8
2001-05,Total,75.1
2001-05,Total (Excluding Motor Vehicles),71.6
2001-06,Total,72
2001-06,Total (Excluding Motor Vehicles),73.1
2001-07,Total,69.1
2001-07,Total (Excluding Motor Vehicles),71.6
2001-08,Total,77.6
2001-08,Total (Excluding Motor Vehicles),74.9
2001-09,Total,69.2
2001-09,Total (Excluding Motor Vehicles),71.5
2001-10,Total,69.9
2001-10,Total (Excluding Motor Vehicles),70.6
2001-11,Total,72.4
2001-11,Total (Excluding Motor Vehicles),73.1
2001-12,Total,72.1
2001-12,Total (Excluding Motor Vehicles),72.8
2002-01,Total,71.6
2002-01,Total (Excluding Motor Vehicles),73.5
2002-02,Total,70.2
2002-02,Total (Excluding Motor Vehicles),71.7
2002-03,Total,76.6
2002-03,Total (Excluding Motor Vehicles),73.2
2002-04,Total,71.8
2002-04,Total (Excluding Motor Vehicles),73.8
2002-05,Total,67.9
2002-05,Total (Excluding Motor Vehicles),74.6
2002-06,Total,68.7
2002-06,Total (Excluding Motor Vehicles),72.6
2002-07,Total,73.1
2002-07,Total (Excluding Motor Vehicles),75.4
2002-08,Total,73
2002-08,Total (Excluding Motor Vehicles),74.1
2002-09,Total,70.4
